"행정구역","2025년04월_남_총인구수","2025년04월_남_연령구간인구수","2025년04월_남_0~9세","2025년04월_남_10~19세","2025년04월_남_20~29세","2025년04월_남_30~39세","2025년04월_남_40~49세","2025년04월_남_50~59세","2025년04월_남_60~69세","2025년04월_남_70~79세","2025년04월_남_80~89세","2025년04월_남_90~99세","2025년04월_남_100세 이상","2025년04월_여_총인구수","2025년04월_여_연령구간인구수","2025년04월_여_0~9세","2025년04월_여_10~19세","2025년04월_여_20~29세","2025년04월_여_30~39세","2025년04월_여_40~49세","2025년04월_여_50~59세","2025년04월_여_60~69세","2025년04월_여_70~79세","2025년04월_여_80~89세","2025년04월_여_90~99세","2025년04월_여_100세 이상"
"광주광역시 남구 효덕동(2915571000)","7,120","7,120","504","833","829","929","1,174","1,049","918","655","210","18","1","7,922","7,922","477","826","921","950","1,268","1,133","1,190","769","318","64","6"
"광주광역시 남구 송암동(2915572000)","10,068","10,068","1,265","1,293","982","1,576","1,966","1,328","1,006","498","143","11","0","10,593","10,593","1,166","1,198","1,009","1,615","1,986","1,478","1,262","572","234","68","5"
"광주광역시 남구 대촌동(2915573000)","4,383","4,383","353","314","366","639","650","680","746","435","180","18","2","4,505","4,505","362","355","275","592","580","603","763","500","376","98","1"
"광주광역시 북구 (2917000000)","208,189","208,189","13,706","20,653","27,207","27,952","31,755","35,688","29,372","15,335","5,957","559","5","213,051","213,051","13,173","18,980","24,567","25,773","30,704","36,629","32,600","18,928","9,743","1,910","44"
"광주광역시 북구 중흥1동(2917051000)","2,250","2,250","84","70","302","441","329","353","339","234","89","9","0","2,081","2,081","82","72","385","405","215","240","306","232","124","20","0"
"광주광역시 북구 중흥동(2917053500)","7,723","7,723","496","546","1,251","1,299","1,196","1,159","869","586","288","33","0","7,241","7,241","495","510","1,190","1,014","929","998","863","764","409","68","1"
"광주광역시 북구 중앙동(2917055500)","1,888","1,888","126","97","235","304","305","327","255","171","66","2","0","1,704","1,704","105","74","279","261","216","247","258","155","91","16","2"
"광주광역시 북구 임동(2917057000)","6,800","6,800","656","436","686","1,473","1,108","926","773","510","219","13","0","7,107","7,107","630","419","797","1,416","957","1,013","918","629","269","58","1"
"광주광역시 북구 신안동(2917058000)","6,091","6,091","227","279","908","1,042","877","1,006","960","521","258","13","0","5,553","5,553","213","275","918","805","580","860","874","615","354","57","2"
"광주광역시 북구 용봉동(2917059000)","18,158","18,158","952","1,652","3,477","2,394","2,386","3,023","2,511","1,238","475","50","0","18,343","18,343","886","1,600","3,098","1,984","2,331","3,308","2,817","1,472","727","117","3"
"광주광역시 북구 운암1동(2917060100)","8,710","8,710","631","1,098","1,038","905","1,312","1,417","1,239","784","268","18","0","9,429","9,429","606","1,058","957","972","1,489","1,594","1,503","872","308","69","1"
"광주광역시 북구 운암2동(2917060200)","5,410","5,410","163","378","653","599","749","970","986","620","270","22","0","5,345","5,345","177","408","548","518","623","827","1,073","724","396","47","4"
"광주광역시 북구 운암3동(2917060300)","6,567","6,567","501","733","840","866","953","992","1,004","499","157","22","0","7,096","7,096","499","675","655","829","1,020","1,229","1,232","601","281","74","1"
"광주광역시 북구 동림동(2917061500)","10,800","10,800","802","1,124","1,242","1,542","1,777","1,852","1,458","725","258","18","2","11,299","11,299","758","921","1,054","1,504","1,754","2,068","1,793","975","391","78","3"
"광주광역시 북구 우산동(2917062000)","7,558","7,558","633","678","724","1,011","1,248","1,138","1,079","736","288","22","1","7,950","7,950","595","638","679","1,005","1,135","1,064","1,255","1,017","452","110","0"
"광주광역시 북구 풍향동(2917063500)","2,521","2,521","179","234","264","298","441","458","339","211","89","8","0","2,536","2,536","187","228","247","290","369","418","364","259","147","27","0"
"광주광역시 북구 문화동(2917065000)","11,133","11,133","947","872","1,204","1,757","1,686","1,735","1,680","887","330","35","0","11,686","11,686","894","829","1,134","1,675","1,596","1,877","1,873","1,149","531","126","2"
"광주광역시 북구 문흥1동(2917065600)","7,253","7,253","350","797","980","806","935","1,300","1,247","598","221","19","0","7,785","7,785","405","796","861","679","1,076","1,444","1,399","714","348","61","2"
"광주광역시 북구 문흥2동(2917065700)","6,746","6,746","315","605","1,079","906","932","1,108","985","534","252","29","1","7,533","7,533","301","564","1,044","736","940","1,260","1,356","771","485","75","1"
"광주광역시 북구 두암1동(2917066100)","3,455","3,455","91","244","438","373","408","656","601","423","196","25","0","3,470","3,470","79","212","401","300","343","580","711","553","255","34","2"
"광주광역시 북구 두암2동(2917066200)","7,064","7,064","241","541","822","792","958","1,311","1,266","798","309","26","0","7,335","7,335","232","532","752","655","833","1,321","1,515","970","435","89","1"
"광주광역시 북구 두암3동(2917066300)","5,643","5,643","136","310","561","536","618","1,050","1,365","741","291","35","0","6,200","6,200","115","296","513","462","529","1,018","1,452","1,011","679","124","1"
"광주광역시 북구 삼각동(2917066600)","6,684","6,684","364","775","986","832","949","1,296","951","386","132","13","0","6,233","6,233","321","587","715","664","1,024","1,286","896","482","208","50","0"
"광주광역시 북구 일곡동(2917066900)","13,372","13,372","812","2,029","2,062","1,394","1,843","2,749","1,650","537","261","34","1","14,146","14,146","767","1,694","1,762","1,446","2,327","3,064","1,737","754","506","86","3"
"광주광역시 북구 매곡동(2917067300)","6,248","6,248","437","752","853","747","885","1,079","885","418","174","18","0","6,663","6,663","381","663","709","743","992","1,300","1,020","504","266","84","1"
"광주광역시 북구 오치1동(2917067600)","5,034","5,034","157","421","694","606","685","1,004","864","452","139","12","0","4,900","4,900","175","402","582","528","604","914","897","492","256","50","0"
"광주광역시 북구 오치2동(2917067700)","5,482","5,482","181","333","693","706","705","936","1,119","586","203","20","0","5,760","5,760","180","296","629","576","590","984","1,284","675","442","101","3"
"광주광역시 북구 석곡동(2917068500)","1,126","1,126","20","51","82","84","90","207","317","183","82","10","0","1,085","1,085","24","47","59","71","68","164","273","193","153","31","2"
"광주광역시 북구 건국동(2917069500)","11,284","11,284","1,100","1,417","1,256","1,542","1,978","1,972","1,266","572","165","16","0","11,147","11,147","1,067","1,294","1,142","1,521","1,968","1,868","1,247","602","361","75","2"
"광주광역시 북구 양산동(2917069600)","17,533","17,533","1,367","1,919","2,161","2,414","3,101","3,137","2,143","922","339","30","0","17,517","17,517","1,301","1,788","1,959","2,318","2,811","3,124","2,299","1,157","630","125","5"
"광주광역시 북구 신용동(2917069700)","15,656","15,656","1,738","2,262","1,716","2,283","3,301","2,527","1,221","463","138","7","0","15,907","15,907","1,698","2,102","1,498","2,396","3,385","2,559","1,385","586","239","58","1"
"광주광역시 광산구 (2920000000)","196,556","196,556","14,108","24,551","27,740","25,742","32,914","36,714","22,665","8,727","3,110","283","2","192,617","192,617","13,679","23,181","24,208","23,110","33,439","35,659","21,218","10,698","6,178","1,217","30"
"광주광역시 광산구 송정1동(2920051500)","5,082","5,082","216","488","824","539","715","1,011","741","373","162","13","0","4,877","4,877","200","409","597","455","672","919","749","556","274","46","0"
"광주광역시 광산구 송정2동(2920052500)","2,988","2,988","128","155","411","445","403","519","430","341","145","10","1","2,969","2,969","132","133","375","390","295","485","460","427","236","36","0"
"광주광역시 광산구 도산동(2920054000)","7,123","7,123","508","696","1,011","930","1,117","1,346","867","458","181","9","0","6,968","6,968","471","637","783","812","1,055","1,280","942","626","317","44","1"
"광주광역시 광산구 신흥동(2920055000)","2,044","2,044","108","177","252","229","259","372","341","205","96","5","0","2,052","2,052","95","157","207","206","264","356","351","261","126","27","2"
"광주광역시 광산구 어룡동(2920056500)","17,342","17,342","1,591","2,020","2,048","2,450","3,389","2,846","1,903","822","257","15","1","16,395","16,395","1,490","1,914","1,688","2,268","2,926","2,667","1,951","904","479","104","4"
"광주광역시 광산구 우산동(2920058000)","14,351","14,351","1,062","1,056","1,733","2,430","2,193","2,475","2,240","881","253","28","0","13,803","13,803","1,006","970","1,505","2,147","1,837","2,518","2,008","999","653","156","4"
"광주광역시 광산구 월곡1동(2920060000)","4,781","4,781","241","431","680","625","565","932","841","357","96","13","0","4,670","4,670","220","385","563","494","569","994","866","342","193","44","0"
"광주광역시 광산구 월곡2동(2920061000)","7,172","7,172","352","798","990","829","1,004","1,535","1,071","436","144","13","0","7,136","7,136","354","765","875","730","1,049","1,515","1,086","472","258","31","1"
"광주광역시 광산구 비아동(2920062000)","3,774","3,774","238","399","442","342","663","842","564","204","69","11","0","3,409","3,409","228","350","338","327","556","688","463","253","163","43","0"
"광주광역시 광산구 첨단1동(2920062400)","13,722","13,722","897","1,518","2,232","2,190","1,768","2,546","1,905","471","182","13","0","13,907","13,907","902","1,472","1,994","1,883","2,043","3,010","1,689","527","312","73","2"
"광주광역시 광산구 첨단2동(2920062600)","20,702","20,702","1,325","2,379","3,700","3,211","3,106","3,921","2,243","596","197","24","0","20,129","20,129","1,225","2,241","3,303","2,676","3,259","4,104","2,003","757","472","88","1"
"광주광역시 광산구 신가동(2920063000)","9,480","9,480","808","1,398","1,336","1,081","1,654","1,965","842","285","101","10","0","9,250","9,250","785","1,287","1,191","999","1,808","1,805","742","418","194","21","0"
"광주광역시 광산구 운남동(2920063500)","13,941","13,941","871","1,734","2,011","1,734","2,260","2,779","1,710","553","261","28","0","14,606","14,606","888","1,569","1,845","1,633","2,441","2,994","1,699","909","525","101","2"
"광주광역시 광산구 수완동(2920063700)","36,237","36,237","3,168","6,747","4,853","3,735","7,214","6,759","2,604","899","245","13","0","37,392","37,392","3,111","6,610","4,590","3,924","8,427","6,285","2,604","1,251","500","85","5"
"광주광역시 광산구 하남동(2920064000)","14,003","14,003","1,155","1,772","1,996","2,074","2,677","2,352","1,430","423","116","8","0","12,958","12,958","1,133","1,674","1,701","1,742","2,549","2,180","1,267","451","203","56","2"
"광주광역시 광산구 임곡동(2920065000)","1,009","1,009","15","46","59","67","87","192","290","155","88","10","0","903","903","23","54","31","47","48","129","198","168","158","46","1"
"광주광역시 광산구 동곡동(2920066000)","849","849","13","29","59","63","92","143","241","142","62","5","0","777","777","18","24","40","30","47","104","167","164","154","29","0"
"광주광역시 광산구 평동(2920067000)","2,773","2,773","103","107","286","413","407","484","516","328","116","13","0","2,235","2,235","110","99","196","268","207","351","421","297","241","42","3"
"광주광역시 광산구 삼도동(2920068000)","1,109","1,109","10","57","82","80","93","209","298","195","73","12","0","995","995","22","50","35","44","70","134","212","183","204","41","0"
